대분류,성별 타겟군,광고상품 리스트,광고상품 ROI
가구/인테리어,성비 균형,캐시닥 용돈라방,-88.75
가구/인테리어,여성 위주,KB 라이브 보고 포인트리 적립,2349.277777777778
가구/인테리어,여성 위주,OK캐쉬백 라이브모아,519.6270751317148
가구/인테리어,여성 위주,OK캐쉬백 오!라방,46.44709303271851
가구/인테리어,여성 위주,롯데카드 라방보고 머니받기,11.617647058823536
가구/인테리어,여성 위주,신한 라방플러스,854.5941753171857
가구/인테리어,여성 위주,에이블리 라방광고,1379.186507936508
가구/인테리어,여성 위주,캐시닥 용돈라방,373.57056478442763
가구/인테리어,여성 위주,캐시워크 돈버는라방,223.13007034553215
가구/인테리어,여성 위주,토스 라이브쇼핑보기,111.90192004521045
도서,여성 위주,OK캐쉬백 오!라방,-72.64
도서,여성 위주,롯데카드 라방보고 머니받기,166.66666666666666
도서,여성 위주,신한 라방플러스,112.8888888888889
도서,여성 위주,에이블리 라방광고,166.66666666666666
도서,여성 위주,캐시닥 용돈라방,506.2277777777778
도서,여성 위주,캐시워크 돈버는라방,76.90666666666665
도서,여성 위주,토스 라이브쇼핑보기,370.55555555555554
디지털/가전,남성 위주,캐시닥 용돈라방,878.0
디지털/가전,남성 위주,캐시워크 돈버는라방,-72.1
디지털/가전,성비 균형,KB 라이브 보고 포인트리 적립,3915.161075727521
디지털/가전,성비 균형,LPOINT 바로적립 라이브,2097.2825174825175
디지털/가전,성비 균형,OK캐쉬백 라이브모아,1084.1790970933828
디지털/가전,성비 균형,OK캐쉬백 오!라방,714.3921042064585
디지털/가전,성비 균형,롯데카드 라방보고 머니받기,49357.03703703704
디지털/가전,성비 균형,신한 라방플러스,7658.137186404723
디지털/가전,성비 균형,에이블리 라방광고,74392.57895658264
디지털/가전,성비 균형,캐시닥 용돈라방,1776.8066836727521
디지털/가전,성비 균형,캐시워크 돈버는라방,807.6783422071665
디지털/가전,성비 균형,토스 라이브쇼핑보기,253.78309141090782
디지털/가전,여성 위주,캐시닥 용돈라방,1883.3309523809523
디지털/가전,여성 위주,캐시워크 돈버는라방,-28.857142857142858
생활/건강,남성 위주,OK캐쉬백 라이브모아,42.5
생활/건강,남성 위주,롯데카드 라방보고 머니받기,627.7777777777777
생활/건강,남성 위주,신한 라방플러스,627.7777777777777
생활/건강,남성 위주,에이블리 라방광고,627.7777777777777
생활/건강,성비 균형,KB 라이브 보고 포인트리 적립,423.1857142857143
생활/건강,성비 균형,LPOINT 바로적립 라이브,2215.4276515151514
생활/건강,성비 균형,OK캐쉬백 라이브모아,347.1513888888889
생활/건강,성비 균형,OK캐쉬백 오!라방,144.82699453551913
생활/건강,성비 균형,롯데카드 라방보고 머니받기,2383.373202614379
생활/건강,성비 균형,신한 라방플러스,1282.0734591848102
생활/건강,성비 균형,에이블리 라방광고,5502.453143505168
생활/건강,성비 균형,캐시닥 용돈라방,533.777705550268
생활/건강,성비 균형,캐시워크 돈버는라방,275.275857328198
생활/건강,성비 균형,토스 라이브쇼핑보기,60.88632006691143
생활/건강,여성 위주,KB 라이브 보고 포인트리 적립,-90.0
생활/건강,여성 위주,OK캐쉬백 오!라방,538.4000000000001
생활/건강,여성 위주,롯데카드 라방보고 머니받기,55.48412698412699
생활/건강,여성 위주,신한 라방플러스,106.64738541071088
생활/건강,여성 위주,에이블리 라방광고,375.3102097583969
생활/건강,여성 위주,캐시닥 용돈라방,251.51229410002995
생활/건강,여성 위주,캐시워크 돈버는라방,38.10158131177
생활/건강,여성 위주,토스 라이브쇼핑보기,-67.1981500399597
스포츠/레저,남성 위주,KB 라이브 보고 포인트리 적립,-77.83333333333333
스포츠/레저,남성 위주,OK캐쉬백 라이브모아,2236.25
스포츠/레저,남성 위주,신한 라방플러스,1376.4791666666667
스포츠/레저,남성 위주,에이블리 라방광고,1399.0833333333333
스포츠/레저,남성 위주,캐시닥 용돈라방,1383.6607142857142
스포츠/레저,남성 위주,캐시워크 돈버는라방,191.23015873015876
스포츠/레저,남성 위주,토스 라이브쇼핑보기,23.36239316239317
식품,성비 균형,롯데카드 라방보고 머니받기,10925.0
식품,성비 균형,신한 라방플러스,110.22222222222223
식품,성비 균형,캐시닥 용돈라방,226.6875
식품,성비 균형,캐시워크 돈버는라방,-45.26666666666667
식품,여성 위주,KB 라이브 보고 포인트리 적립,160.0303640236684
식품,여성 위주,LPOINT 바로적립 라이브,587.8266774891775
식품,여성 위주,OK캐쉬백 라이브모아,581.4156698121514
식품,여성 위주,OK캐쉬백 오!라방,412.2092423563901
식품,여성 위주,롯데카드 라방보고 머니받기,949.7240997848414
식품,여성 위주,신한 라방플러스,452.7053351199479
식품,여성 위주,에이블리 라방광고,2337.70706762131
식품,여성 위주,캐시닥 용돈라방,609.7845890260841
식품,여성 위주,캐시워크 돈버는라방,283.50110904437855
식품,여성 위주,토스 라이브쇼핑보기,109.99437980374965
여가/생활편의,여성 위주,KB 라이브 보고 포인트리 적립,44.64583333333333
여가/생활편의,여성 위주,LPOINT 바로적립 라이브,2610.0
여가/생활편의,여성 위주,OK캐쉬백 오!라방,-28.610000000000003
여가/생활편의,여성 위주,신한 라방플러스,394.1666666666667
여가/생활편의,여성 위주,에이블리 라방광고,160.4547619047619
여가/생활편의,여성 위주,캐시닥 용돈라방,-19.878190476190476
여가/생활편의,여성 위주,캐시워크 돈버는라방,173.62119047619046
여가/생활편의,여성 위주,토스 라이브쇼핑보기,85.04896825396825
출산/육아,여성 위주,KB 라이브 보고 포인트리 적립,483.96111111111117
출산/육아,여성 위주,LPOINT 바로적립 라이브,2523.45
출산/육아,여성 위주,OK캐쉬백 라이브모아,810.6519396551724
출산/육아,여성 위주,OK캐쉬백 오!라방,60.098693877551014
출산/육아,여성 위주,롯데카드 라방보고 머니받기,3476.470588235294
출산/육아,여성 위주,신한 라방플러스,4046.231894934334
출산/육아,여성 위주,에이블리 라방광고,3142.9913880445797
출산/육아,여성 위주,캐시닥 용돈라방,694.7587455892115
출산/육아,여성 위주,캐시워크 돈버는라방,407.61710524820006
출산/육아,여성 위주,토스 라이브쇼핑보기,619.6458247372041
패션의류,남성 위주,캐시닥 용돈라방,520.0
패션의류,여성 위주,KB 라이브 보고 포인트리 적립,-73.49333333333334
패션의류,여성 위주,OK캐쉬백 라이브모아,187.73428030303032
패션의류,여성 위주,OK캐쉬백 오!라방,-11.661575757575758
패션의류,여성 위주,롯데카드 라방보고 머니받기,301.6666666666667
패션의류,여성 위주,신한 라방플러스,1365.7708333333335
패션의류,여성 위주,에이블리 라방광고,616.6777777777777
패션의류,여성 위주,캐시닥 용돈라방,77.48915343915343
패션의류,여성 위주,캐시워크 돈버는라방,985.4335666170939
패션의류,여성 위주,토스 라이브쇼핑보기,508.1465448435203
패션잡화,여성 위주,KB 라이브 보고 포인트리 적립,-49.63333333333333
패션잡화,여성 위주,LPOINT 바로적립 라이브,5775.6
패션잡화,여성 위주,OK캐쉬백 라이브모아,9878.333333333334
패션잡화,여성 위주,OK캐쉬백 오!라방,-62.06857142857143
패션잡화,여성 위주,신한 라방플러스,518.3170454545455
패션잡화,여성 위주,에이블리 라방광고,1022.8115123623533
패션잡화,여성 위주,캐시닥 용돈라방,660.308253968254
패션잡화,여성 위주,캐시워크 돈버는라방,847.8911847582008
패션잡화,여성 위주,토스 라이브쇼핑보기,-7.645962193857031
화장품/미용,여성 위주,KB 라이브 보고 포인트리 적립,16.56666666666667
화장품/미용,여성 위주,LPOINT 바로적립 라이브,284.2064393939394
화장품/미용,여성 위주,OK캐쉬백 라이브모아,188.78996823069406
화장품/미용,여성 위주,OK캐쉬백 오!라방,222.57969767533922
화장품/미용,여성 위주,롯데카드 라방보고 머니받기,866.2581699346405
화장품/미용,여성 위주,신한 라방플러스,93.35038922180622
화장품/미용,여성 위주,에이블리 라방광고,4380.443684881953
화장품/미용,여성 위주,캐시닥 용돈라방,636.9040430025904
화장품/미용,여성 위주,캐시워크 돈버는라방,251.03451135330167
화장품/미용,여성 위주,토스 라이브쇼핑보기,148.39918203859463
